SortOrder,Region,Region or State,Year,Total land,Total cropland,Cropland used for crops,Cropland used for pasture,Cropland idled,Grassland pasture and range,Forest-use land (all),Forest-use land grazed,Forest-use land not grazed,All special uses of land,Land in rural transportation facilities,Land in rural parks and wildlife areas,Land in defense and industrial areas,"Farmsteads, roads, and miscellaneous farmland",Land in urban areas,Other land
1,Northeast total,Northeast,1945,112402,25027,20904,2280,1842,10126,61788,9001,52787,6374,1910,2818,529,1118,3975,5112
2,Northeast total,Northeast,1949,112378,24557,20340,4217,N.A.,6928,62759,7097,55662,7797,1921,4234,524,1118,4126,6211
3,Northeast total,Northeast,1954,112378,22830,16635,3777,2418,7186,63537,5588,57949,7497,2032,4083,612,770,4137,7191
4,Northeast total,Northeast,1959,112324,20973,15189,3217,2567,7999,63845,3488,60357,7703,2100,4371,599,633,5821,5983
5,Northeast total,Northeast,1964,112223,19173,14016,2559,2598,7110,66637,3573,63064,8210,2120,4845,617,628,6186,4907
6,Northeast total,Northeast,1969,112129,17853,12204,3669,1980,3162,71241,2238,69003,8525,2037,5413,475,600,6632,4716
7,Northeast total,Northeast,1974,112129,17334,12937,3106,1291,3390,69730,1902,67828,8315,1915,5580,459,361,7157,6203
8,Northeast total,Northeast,1978,112129,17501,13155,3117,1229,2963,68061,2147,65914,8680,1839,6007,449,385,8993,5931
9,Northeast total,Northeast,1982,111730,16954,13600,2449,905,2612,68770,1700,67070,9121,2021,6304,445,351,9802,4471
10,Northeast total,Northeast,1987,111730,15707,11765,2301,1641,2777,68645,1668,67352,9827,1944,7115,445,323,9945,4454
11,Northeast total,Northeast,1992,111401,14337,11069,2035,1233,2987,68324,1409,67012,9549,1870,7001,401,278,10597,5601
12,Northeast total,Northeast,1997,111401,13402,10715,1847,840,2827,65897,1359,64883,9836,1875,7253,421,289,11407,7686
13,Northeast total,Northeast,2002,111390,13700,11417,1493,790,3025,65484,1472,64012,10404,1894,7418,412,681,12338,6439
14,Northeast total,Northeast,2007,111390,12967,11043,887,1036,4627,66774,511,66263,11214,1606,8345,438,702,12537,3272
15,Northeast total,Northeast,2012,111123,12220,10877,310,1033,4916,65670,464,65206,11491,1675,8830,434,552,13340,3486
16,Northeast,Maine,1945,19866,1490,1331,74,85,439,16751,992,15759,449,165,182,11,91,97,640
17,Northeast,Maine,1949,19866,1407,1186,221,N.A.,273,16685,783,15902,482,169,209,13,91,104,915
18,Northeast,Maine,1954,19866,1274,818,236,220,254,16901,580,16321,471,172,237,18,44,113,853
19,Northeast,Maine,1959,19848,1186,717,171,298,291,17073,201,16872,509,172,279,22,36,173,616
20,Northeast,Maine,1964,19797,1002,603,143,256,283,17244,159,17085,531,172,302,23,34,176,561
21,Northeast,Maine,1969,19789,735,491,119,125,174,17605,165,17440,572,187,336,21,28,201,502
22,Northeast,Maine,1974,19789,653,456,101,96,142,17505,114,17391,565,189,339,19,18,214,710
23,Northeast,Maine,1978,19789,689,491,98,100,118,17474,115,17359,371,172,161,19,19,559,578
24,Northeast,Maine,1982,19837,629,475,87,67,94,17565,95,17470,408,184,188,19,17,605,536
25,Northeast,Maine,1987,19837,577,390,87,100,72,17437,91,17346,429,173,222,18,16,612,710
26,Northeast,Maine,1992,19753,591,410,73,108,38,17461,83,17378,453,176,250,13,14,476,735
27,Northeast,Maine,1997,19753,466,324,65,77,37,16952,53,16899,520,169,322,15,14,581,1197
28,Northeast,Maine,2002,19752,478,344,48,86,42,16951,60,16892,589,192,327,26,45,223,1468
29,Northeast,Maine,2007,19752,462,341,37,85,105,17355,26,17328,601,187,343,24,46,223,1007
30,Northeast,Maine,2012,19740,390,328,8,55,159,17191,48,17143,609,198,356,21,34,231,1159
31,Northeast,New Hampshire,1945,5775,509,443,48,18,231,4775,945,3830,158,85,36,5,32,61,41
32,Northeast,New Hampshire,1949,5771,451,349,102,N.A.,148,4823,745,4078,177,85,47,13,32,66,106
33,Northeast,New Hampshire,1954,5771,385,252,88,45,157,4761,348,4413,165,89,42,14,20,67,236
34,Northeast,New Hampshire,1959,5769,360,211,72,77,86,4805,127,4678,170,92,44,19,15,90,258
35,Northeast,New Hampshire,1964,5781,256,172,62,22,47,4933,145,4788,205,96,57,27,25,97,243
36,Northeast,New Hampshire,1969,5777,198,126,56,16,57,5046,75,4971,122,80,22,7,13,151,203
37,Northeast,New Hampshire,1974,5777,174,120,43,11,34,5046,74,4972,141,83,44,7,7,163,219
38,Northeast,New Hampshire,1978,5777,198,138,46,14,32,4867,73,4794,208,81,113,7,7,350,122
39,Northeast,New Hampshire,1982,5756,166,127,31,8,46,4839,45,4794,226,95,118,7,6,367,112
40,Northeast,New Hampshire,1987,5756,147,107,31,9,50,4803,45,4758,263,92,158,7,6,412,81
41,Northeast,New Hampshire,1992,5740,143,109,26,8,48,4785,33,4752,266,90,164,7,5,329,169
42,Northeast,New Hampshire,1997,5740,112,84,22,6,40,4551,33,4518,318,90,220,1,7,376,344
43,Northeast,New Hampshire,2002,5740,108,77,20,11,47,4503,35,4468,337,95,230,1,10,357,388
44,Northeast,New Hampshire,2007,5740,103,76,17,10,90,4422,14,4408,565,86,464,3,12,359,200
45,Northeast,New Hampshire,2012,5730,93,73,2,18,116,4341,12,4329,605,86,499,3,17,423,151
46,Northeast,Vermont,1945,5938,1281,1171,93,17,1023,3356,1564,1792,118,63,10,14,31,46,114
47,Northeast,Vermont,1949,5938,1156,937,219,N.A.,752,3835,1233,2602,115,62,8,14,31,50,30
48,Northeast,Vermont,1954,5938,1072,813,196,63,744,3720,1096,2624,110,65,13,2,30,45,247
49,Northeast,Vermont,1959,5937,988,761,196,31,692,3725,602,3123,122,64,16,18,24,52,358
50,Northeast,Vermont,1964,5935,883,666,183,34,406,4280,452,3828,259,67,148,19,25,53,54
51,Northeast,Vermont,1969,5931,867,543,279,45,290,4384,280,4104,191,75,82,12,22,42,157
52,Northeast,Vermont,1974,5931,812,543,233,36,234,4384,242,4142,221,80,114,12,15,42,238
53,Northeast,Vermont,1978,5931,862,583,254,25,188,4450,385,4065,242,77,136,12,17,70,119
54,Northeast,Vermont,1982,5935,784,561,205,18,260,4432,280,4152,248,83,138,12,15,85,126
55,Northeast,Vermont,1987,5935,655,438,188,29,200,4424,276,4148,422,72,324,12,14,93,141
56,Northeast,Vermont,1992,5920,585,408,158,19,191,4474,193,4148,338,70,244,12,12,103,229
57,Northeast,Vermont,1997,5920,484,342,132,10,212,4462,198,4264,337,79,233,11,14,120,305
58,Northeast,Vermont,2002,5920,589,479,84,26,208,4483,232,4252,346,90,237,1,19,95,198
59,Northeast,Vermont,2007,5920,487,413,47,27,261,4504,41,4463,467,88,346,12,21,96,104
60,Northeast,Vermont,2012,5899,412,379,15,19,305,4476,37,4439,498,87,369,12,30,101,106
61,Northeast,Massachusetts,1945,5060,703,589,77,37,247,3242,628,2614,277,146,21,31,79,456,135
62,Northeast,Massachusetts,1949,5035,624,473,151,N.A.,145,3298,495,2803,294,147,30,38,79,452,222
63,Northeast,Massachusetts,1954,5035,561,342,143,76,153,3270,248,3022,316,149,32,94,41,479,256
64,Northeast,Massachusetts,1959,5035,467,298,103,66,192,3270,90,3180,282,156,52,43,31,752,72
65,Northeast,Massachusetts,1964,5013,369,240,80,49,135,3270,128,3142,360,159,124,41,36,781,98
66,Northeast,Massachusetts,1969,5009,288,199,72,17,49,3412,85,3327,264,91,104,26,43,897,99
67,Northeast,Massachusetts,1974,5009,264,193,55,16,52,2848,49,2799,216,78,107,19,12,992,637
68,Northeast,Massachusetts,1978,5009,310,215,77,18,43,2847,49,2798,425,78,308,26,13,1234,150
69,Northeast,Massachusetts,1982,5008,282,214,52,16,48,2811,45,2766,525,133,360,19,13,1340,2
70,Northeast,Massachusetts,1987,5008,271,196,53,22,45,2760,44,2966,557,132,391,20,14,1125,0
71,Northeast,Massachusetts,1992,5016,230,171,45,14,35,2678,36,2742,559,131,397,19,12,1422,29
72,Northeast,Massachusetts,1997,5016,211,160,39,12,35,2475,36,2639,552,121,402,16,13,1515,28
73,Northeast,Massachusetts,2002,5018,196,152,30,14,31,2330,31,2299,555,108,418,13,16,1807,99
74,Northeast,Massachusetts,2007,5018,169,139,16,14,54,2240,22,2218,678,74,560,27,18,1837,38
75,Northeast,Massachusetts,2012,4992,148,130,5,14,79,2088,18,2070,726,58,608,30,31,1935,16
76,Northeast,Rhode Island,1945,677,81,63,10,8,41,393,18,375,44,22,7,6,9,97,21
77,Northeast,Rhode Island,1949,677,80,55,25,N.A.,13,447,14,433,46,22,7,8,9,91,0
78,Northeast,Rhode Island,1954,677,69,36,22,11,12,430,11,419,43,18,11,8,6,102,21
79,Northeast,Rhode Island,1959,677,53,35,15,3,21,429,10,419,48,20,15,8,5,126,0
80,Northeast,Rhode Island,1964,671,46,30,12,4,7,430,7,423,51,21,15,7,8,130,7
81,Northeast,Rhode Island,1969,671,32,21,9,2,5,429,6,423,47,10,19,7,11,151,7
82,Northeast,Rhode Island,1974,671,29,22,5,2,5,395,6,389,36,9,19,7,1,154,52
83,Northeast,Rhode Island,1978,671,36,25,8,3,3,395,6,389,67,18,41,7,1,170,0
84,Northeast,Rhode Island,1982,675,37,29,5,3,3,391,5,386,71,23,42,4,2,173,0
85,Northeast,Rhode Island,1987,675,29,21,5,3,3,391,5,386,59,15,39,3,2,190,3
86,Northeast,Rhode Island,1992,669,26,19,4,3,2,372,5,372,59,16,42,0,1,202,3
87,Northeast,Rhode Island,1997,669,30,22,6,2,3,336,4,352,61,15,41,3,2,214,6
88,Northeast,Rhode Island,2002,669,25,19,3,3,4,314,5,309,62,12,44,3,2,250,13
89,Northeast,Rhode Island,2007,669,22,18,2,2,8,313,2,311,70,12,53,3,2,254,1
90,Northeast,Rhode Island,2012,662,25,19,2,4,7,290,2,288,81,11,65,3,2,258,0
91,Northeast,Connecticut,1945,3135,530,436,72,22,270,1833,208,1625,157,97,16,0,44,260,85
92,Northeast,Connecticut,1949,3135,498,369,129,N.A.,157,1900,164,1736,161,95,21,1,44,279,140
93,Northeast,Connecticut,1954,3135,467,293,126,48,168,1979,135,1844,171,101,26,4,40,253,97
94,Northeast,Connecticut,1959,3135,358,246,79,33,194,1979,95,1884,173,109,27,4,33,407,24
95,Northeast,Connecticut,1964,3117,299,210,56,33,192,1979,73,1906,167,112,30,7,18,453,27
96,Northeast,Connecticut,1969,3112,252,162,69,21,54,2119,56,2063,118,59,37,1,21,514,55
97,Northeast,Connecticut,1974,3112,234,163,56,15,46,1846,46,1800,113,60,43,1,9,548,325
98,Northeast,Connecticut,1978,3112,250,180,55,15,47,1831,51,1780,122,57,54,1,10,713,149
99,Northeast,Connecticut,1982,3118,235,181,43,11,48,1745,40,1705,157,93,54,1,9,778,155
100,Northeast,Connecticut,1987,3118,207,152,40,15,47,1751,39,1737,311,89,212,2,8,770,7
101,Northeast,Connecticut,1992,3101,188,142,33,13,37,1693,29,1689,294,85,202,0,7,850,51
102,Northeast,Connecticut,1997,3101,166,131,27,8,30,1557,30,1652,298,82,206,2,8,910,13
103,Northeast,Connecticut,2002,3101,152,117,23,12,30,1436,30,1407,293,65,209,2,18,1133,55
